Hour,MAE,RMSE,MAPE
Hour_1,0.5113822915861722,0.7065253087783838,2.923618966430448
Hour_2,0.6800713365707229,0.9465949708622544,3.848974101826219
Hour_3,0.7870367058224478,1.1035391736225084,4.450742644260523
Hour_4,0.8633624493234291,1.2137347311718518,4.89824079979118
Hour_5,0.9278732688837358,1.3053261359238069,5.26009922215682
Hour_6,0.9780900525475199,1.3754931537650796,5.570690078017364
Hour_7,1.0207934304845916,1.4355154582614285,5.820299866377265
Hour_8,1.0647957145996108,1.4942664888708135,6.072987908800838
Hour_9,1.1077198121484946,1.5448366606455586,6.331311327538508
Hour_10,1.1467169845680105,1.5945216696334665,6.549603041005954
Hour_11,1.1834418732766345,1.6420419613400423,6.741652926783713
Hour_12,1.2210564644314368,1.6928525766714841,6.957203276045034
Hour_13,1.2982892545301115,1.7909411051246507,7.421085522494924
Hour_14,1.3104316166258778,1.8168657360734062,7.516509726179605
Hour_15,1.3314865292041023,1.8523023375450542,7.604362131435835
Hour_16,1.3600558534201523,1.8918171569357636,7.7611107486013715
Hour_17,1.383270618660973,1.931572568387517,7.915169229747001
Hour_18,1.4060554920216555,1.9637780265659863,8.052919651237344
Hour_19,1.4267443893790126,1.99417995318029,8.213268062807222
Hour_20,1.4422791317279684,2.02165188984749,8.296523463916616
Hour_21,1.464894170223799,2.0494452221400725,8.39895909132179
Hour_22,1.481356853272454,2.071445861769517,8.506931395192794
Hour_23,1.4948366953062187,2.093101506599255,8.626997055342462
Hour_24,1.5184258927049277,2.1262049306663537,8.771931451670707
Hour_25,1.2941031773349145,1.7885643526808233,7.365933130808844
Hour_26,1.3188072781447078,1.8296872602070406,7.5215441039215545
Hour_27,1.3396198355173166,1.8652526272594534,7.658354439729511
Hour_28,1.3564153620437147,1.890643697630866,7.791211934504277
Hour_29,1.3765988752551046,1.9283047208761461,7.933055583541986
Hour_30,1.3975028437608816,1.957303455632792,8.0853546791117
Hour_31,1.4206481792281491,1.9861941007627606,8.168053761477575
Hour_32,1.4434184737683597,2.015845468912016,8.327882502354306
Hour_33,1.473383639924997,2.0498129788810395,8.519429153741866
Hour_34,1.4931208163181702,2.081267887543257,8.605253181554719
Hour_35,1.5020603651722846,2.1039943235415395,8.652171154292414
Hour_36,1.532183320636523,2.149698254084475,8.791668602089693
Hour_37,1.8489427770864144,2.5646014759878364,10.673094676178325
Hour_38,1.8612027584518778,2.5902961985914135,10.703947842850042
Hour_39,1.8758534459025655,2.598350595616299,10.857077583503559
Hour_40,1.8934186654824574,2.6278928386175138,10.941894256800584
Hour_41,1.9012412757236237,2.6431942788991076,10.899366488208509
Hour_42,1.9169274249534745,2.660031519240233,11.07185869738559
Hour_43,1.9335371552130483,2.683766297734783,11.198858094288822
Hour_44,1.9472163161278875,2.686332453231978,11.33299146806463
Hour_45,1.9547724282392658,2.698111114956326,11.37726625676763
Hour_46,1.9628396275674989,2.707451434142792,11.39145780772216
Hour_47,1.9932784802364898,2.7330392941930426,11.699663542953159
Hour_48,1.9820068081066078,2.7377317267157117,11.541976505372794
Hour_49,1.9966306025832314,2.751572433609633,11.601695727057281
Hour_50,2.0094976625996472,2.7735333744589292,11.681324719425742
Hour_51,2.0119679667412886,2.781022555108929,11.665308759233458
Hour_52,2.0239638227593533,2.793753931969135,11.722641487163758
Hour_53,2.0287292607904113,2.80113724497125,11.832842995365253
Hour_54,2.0280444196480594,2.8148543509727535,11.67042182349847
Hour_55,2.0410048296708623,2.820319001593839,11.911946501222022
Hour_56,2.0314264336793304,2.8130730251228075,11.793991390972652
Hour_57,2.0442147169952096,2.829773940656133,11.915559016710398
Hour_58,2.045230649782221,2.8365040868839624,11.91689857481212
Hour_59,2.0620261974835996,2.852556475063212,12.046139440705595
Hour_60,2.069700142337764,2.864556152610692,12.051465223049373
