,Rain,RH (%),TD (degC),TDmax (degC),TDmin (degC),Wind_x,Wind_y,Gust_x,Gust_y,STDwd (deg),Average Percentage,Earliest Year
Dafna,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,2018
Newe Yaar,0.2,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2005
Avdat,0.0,0.2,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.1,2008
Mizpe Ramon,0.0,0.9,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,2012
Maale Adummim,0.0,0.3,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,2006
Kefar Blum,0.0,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,2005
Eshhar,0.7,0.5,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.3,2005
Bet Haarava,0.4,0.6,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.3,2006
Nevatim,1.6,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.3,2010
Gamla,0.4,1.0,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.3,0.4,2006
Nizzan,0.4,2.8,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.5,2008
Metzoke Dragot,0.0,0.9,1.2,1.2,1.2,0.3,0.3,0.3,0.3,0.2,0.6,2006
Hafez Hayyim,3.1,1.9,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.6,2004
Shave Ziyyon,0.5,2.7,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.6,2009
Ezuz,0.0,1.3,1.3,1.3,1.3,0.3,0.3,0.3,0.3,0.0,0.7,2009
Ashqelon Port,0.7,3.9,0.3,0.3,0.3,0.1,0.1,0.2,0.2,0.9,0.7,2006
Tel Yosef,0.6,0.3,1.4,1.6,1.6,0.3,0.3,0.3,0.3,0.3,0.7,2000
Zova,0.6,0.2,0.0,0.0,0.0,1.1,1.1,1.1,1.1,2.3,0.7,2005
Tel Aviv Coast,0.0,2.4,1.5,1.5,1.5,0.1,0.1,0.2,0.2,0.1,0.8,2005
En Hashofet,0.6,5.6,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.2,0.8,2000
Ashalim,0.7,0.8,0.1,0.2,0.1,0.1,0.1,0.1,0.1,5.6,0.8,2008
Avne Etan,0.3,3.0,0.1,0.1,0.1,0.9,0.9,1.0,1.0,0.6,0.8,2000
Kefar Nahum,0.0,1.7,2.2,2.1,2.2,0.0,0.0,0.0,0.0,0.0,0.8,2006
Maale Gilboa,3.3,1.4,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.3,0.8,2006
Neot Smadar,5.4,0.2,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.5,1.0,2006
Beer Sheva University,0.0,0.1,0.1,0.1,0.1,2.3,2.3,2.3,2.3,2.3,1.2,2022
Kefar Giladi,2.4,0.4,0.1,0.1,0.1,1.8,1.8,1.8,1.8,1.7,1.2,2006
