,Rain,RH (%),TD (degC),TDmax (degC),TDmin (degC),Wind_x,Wind_y,Gust_x,Gust_y,STDwd (deg),Average Percentage,Earliest Year
Dafna,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,2018
Newe Yaar,0.2,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2005
Avdat,0.0,0.2,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.1,2008
Mizpe Ramon,0.0,0.9,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,2012
Dorot,0.6,0.5,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,2005
Tavor Kadoorie,0.4,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,2005
Maale Adummim,0.0,0.3,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,2006
Yavneel,1.0,0.1,0.0,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,2005
Ariel,0.5,0.3,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,2005
En Hashofet,0.8,0.5,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.1,0.2,2005
Kefar Blum,0.0,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,2005
Netiv Halamed He,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,2005
Eden Farm,0.2,1.0,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.0,0.3,2005
En Karmel,0.7,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,2005
Eshhar,0.7,0.5,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.3,2005
Bet Haarava,0.4,0.6,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.3,2006
Arad,0.3,0.8,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.3,2005
Nevatim,1.6,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.3,2010
Hafez Hayyim,0.3,2.0,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.4,2005
Gamla,0.4,1.0,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.3,0.4,2006
Qarne Shomeron,1.0,0.1,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.4,2005
Jerusalem Givat Ram,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.9,0.9,0.0,0.4,2005
Har Harasha,0.8,0.2,0.2,0.2,0.2,0.6,0.6,0.4,0.4,0.3,0.4,2005
Bet Dagan,0.0,3.6,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.5,2005
Avne Etan,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.1,1.1,0.5,0.5,2005
Nizzan,0.4,2.8,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.5,2008
Besor Farm,0.6,1.1,1.1,1.1,1.1,0.1,0.1,0.1,0.1,0.2,0.5,2005
