,Rain,RH (%),TD (degC),TDmax (degC),TDmin (degC),WD (deg),WDmax (deg),WS (m/s),WSmax (m/s),STDwd (deg),Average Percentage,Earliest Year
Dafna.csv,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,2018
Newe Yaar.csv,0.2,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2005
Avdat.csv,0.0,0.2,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.1,2008
Mizpe Ramon.csv,0.0,0.9,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,2012
Maale Adummim.csv,0.0,0.3,0.1,0.1,0.1,0.2,0.3,0.2,0.3,0.2,0.2,2006
Kefar Blum.csv,0.0,1.0,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,2005
Eshhar.csv,0.7,0.5,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.3,2005
Bet Haarava.csv,0.4,0.6,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.3,2006
Nevatim.csv,1.6,0.4,0.5,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.3,2010
Gamla.csv,0.4,1.0,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.3,0.4,2006
Nizzan.csv,0.4,2.8,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.5,2008
Metzoke Dragot.csv,0.0,0.9,1.2,1.2,1.2,0.2,0.3,0.3,0.3,0.2,0.6,2006
Ezuz.csv,0.0,1.3,1.3,1.3,1.3,0.0,0.0,0.3,0.3,0.0,0.6,2009
Hafez Hayyim.csv,3.1,1.9,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.6,2004
Shave Ziyyon.csv,0.5,2.7,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.6,2009
Ashqelon Port.csv,0.7,3.9,0.3,0.3,0.3,0.1,0.2,0.0,0.0,0.9,0.7,2006
Tel Yosef.csv,0.6,0.3,1.4,1.6,1.6,0.3,0.3,0.3,0.3,0.3,0.7,2000
Avne Etan.csv,0.3,3.0,0.1,0.1,0.1,0.9,0.9,0.6,0.7,0.6,0.7,2000
Zova.csv,0.6,0.2,0.0,0.0,0.0,1.1,1.1,1.1,1.1,2.3,0.7,2005
En Hashofet.csv,0.6,5.6,0.0,0.0,0.0,0.2,0.2,0.3,0.3,0.2,0.8,2000
Tel Aviv Coast.csv,0.0,2.4,1.5,1.5,1.5,0.1,0.2,0.1,0.1,0.1,0.8,2005
Ashalim.csv,0.7,0.8,0.1,0.2,0.1,0.1,0.1,0.0,0.0,5.6,0.8,2008
Kefar Nahum.csv,0.0,1.7,2.2,2.1,2.2,0.0,0.0,0.0,0.0,0.0,0.8,2006
Maale Gilboa.csv,3.3,1.4,0.6,0.6,0.6,0.4,0.4,0.3,0.3,0.3,0.8,2006
Neot Smadar.csv,5.4,0.2,0.4,0.4,0.4,0.5,0.6,0.5,0.5,0.5,1.0,2006
Negba.csv,0.0,0.6,0.4,0.4,0.4,0.4,0.4,0.3,7.4,0.7,1.1,2001
Nahshon.csv,0.3,1.5,1.4,1.4,1.4,1.5,1.5,0.3,0.3,1.4,1.1,2006
Afula Nir Haemeq.csv,1.7,6.9,0.1,0.1,0.1,0.8,0.7,0.2,0.2,0.2,1.1,2000
Kefar Giladi.csv,2.4,0.4,0.1,0.1,0.1,1.8,1.8,1.6,1.6,1.7,1.2,2006
Beer Sheva University.csv,0.0,0.1,0.1,0.1,0.1,2.3,2.3,2.3,2.3,2.3,1.2,2022
Sede Boqer.csv,0.0,4.5,0.3,0.3,0.3,1.6,1.6,0.9,1.0,1.6,1.2,2002
Qarne Shomeron.csv,2.2,1.2,0.5,1.4,1.4,1.1,1.1,1.1,1.1,1.1,1.2,2000
Tavor Kadoorie.csv,0.8,10.5,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,1.2,2000
Shani.csv,2.8,5.8,0.2,0.2,0.2,1.1,1.1,0.1,0.1,1.1,1.3,2000
Zomet Hanegev.csv,9.6,0.9,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,1.3,2003
Gilgal.csv,0.7,0.3,0.4,0.4,0.4,2.6,1.7,2.4,2.4,2.2,1.3,2000
En Karmel.csv,0.8,9.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.4,2000
Merom Golan Picman.csv,3.0,6.5,0.0,0.1,0.1,1.1,1.2,0.5,0.5,0.7,1.4,2000
Arad.csv,2.5,10.9,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.5,1.8,2000
Har Harasha.csv,2.0,0.4,0.3,0.3,0.3,5.0,4.7,0.3,0.3,4.8,1.9,2001
Itamar.csv,3.9,1.1,0.1,0.1,0.1,3.3,3.3,1.9,1.9,3.1,1.9,2002
Besor Farm.csv,1.4,9.6,1.4,1.4,1.4,0.7,0.7,0.7,0.7,0.9,1.9,2000
Bet Zayda.csv,2.0,5.6,0.4,0.4,0.4,4.8,4.8,0.9,0.9,0.5,2.1,2000
Elon.csv,7.9,10.1,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,2.1,2000
Jerusalem Centre.csv,0.1,23.7,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,2.5,2000
Bet Dagan.csv,0.2,22.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,2.6,2000
Hadera Port.csv,25.3,1.7,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1,2.9,2000
Yavneel.csv,3.1,8.9,2.5,2.5,2.5,2.4,2.4,2.5,2.4,2.4,3.1,2000
Netiv Halamed He.csv,1.1,10.3,0.5,0.5,0.5,4.6,4.6,3.5,3.5,4.3,3.3,2000
Rosh Zurim.csv,3.8,4.2,0.3,3.7,3.7,4.0,4.0,3.6,3.4,3.7,3.4,2000
Ariel.csv,3.2,3.0,2.9,2.9,3.0,5.2,5.6,3.7,3.7,3.8,3.7,2000
Eden Farm.csv,5.4,6.2,5.6,5.7,5.7,5.3,5.4,0.1,5.3,5.2,5.0,2000
Zikhron Yaaqov.csv,0.8,5.9,0.5,0.5,0.5,7.1,7.1,10.7,10.7,7.1,5.1,2000
Yotvata.csv,41.8,6.2,0.6,0.7,0.7,0.3,0.4,0.3,0.3,0.3,5.2,2000
Rosh Haniqra.csv,20.3,9.2,0.9,0.9,0.9,4.5,4.5,3.3,3.3,4.4,5.2,2003
Dorot.csv,6.2,5.7,5.3,5.3,5.3,5.3,5.2,5.2,5.2,5.3,5.4,2000
Haifa University.csv,4.4,9.0,6.5,6.6,6.8,4.3,4.3,4.5,4.5,4.2,5.5,2000
