,Date Time,RH (%),Rain,STDwd (deg),TD (degC),TDmax (degC),TDmin (degC),WD (deg),WDmax (deg),WS (m/s),WSmax (m/s),Ws10mm (m/s),Ws1mm (m/s),Average Percentage,Row Count
Dafna,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1
Avdat,0.0,0.2,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,15.2
Mizpe Ramon,0.0,0.9,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.9
Kefar Blum,0.0,1.0,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,18.5
Eshhar,0.0,0.5,0.7,0.1,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.2,18.2
Bet Haarava,0.0,0.6,0.4,0.1,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.3,16.6
Nevatim,0.0,0.4,1.6,0.0,0.5,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,13.6
Newe Yaar,0.0,0.6,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,2.2,0.4,18.8
Metzoke Dragot,0.0,0.9,0.0,0.2,1.2,1.2,1.2,0.2,0.3,0.3,0.3,0.2,0.3,0.5,17.7
Maale Adummim,0.0,0.3,0.0,0.2,0.1,0.1,0.1,0.2,0.3,0.2,0.3,4.0,0.3,0.5,17.0
Hafez Hayyim,0.0,1.9,3.1,0.1,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.5,19.8
Ezuz,0.0,1.3,0.0,0.0,1.3,1.3,1.3,0.0,0.0,0.3,0.3,0.3,0.3,0.5,14.8
Shave Ziyyon,0.0,2.7,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.5,14.3
Ashqelon Port,0.0,3.9,0.7,0.9,0.3,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.5,17.9
Tel Yosef,0.0,0.3,0.6,0.3,1.4,1.6,1.6,0.3,0.3,0.3,0.3,0.3,0.3,0.6,7.0
Ashalim,0.0,0.8,0.7,5.6,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.4,0.6,7.0
Maale Gilboa,0.0,1.4,3.3,0.3,0.6,0.6,0.6,0.4,0.4,0.3,0.3,0.3,0.3,0.7,16.9
Gamla,0.0,1.0,0.4,0.3,0.1,0.1,0.1,0.5,0.5,0.5,0.5,5.9,0.2,0.7,16.7
Tel Aviv Coast,0.0,2.4,0.0,0.1,1.5,1.5,1.5,0.1,0.2,0.1,0.1,2.1,0.1,0.8,18.8
